text,category
spent 12305 on metro card recharge,Transport
just got haircut for 65 rupees,Personal Care
paid 219 rs for restaurant meal,Food
"paid for game, amount was 567",Others
purchase of gift for anniversary - 149,Gifts & Donations
purchase of bus ticket - 6846,Transport
paid 14743 for watch,Shopping
bought health insurance premium for 844 rs,Health
purchase of salon visit - 854,Personal Care
salon visit 817 rs,Personal Care
spent 250 on donation to charity,Gifts & Donations
health insurance premium cost 2027,Health
spent 6513 on school fees,Education
"paid for salon visit, amount was 362",Personal Care
bought haircut for 547 rupees,Personal Care
paid 5469 for uber ride,Transport
bought contribution to fundraiser for 539 rupees,Gifts & Donations
purchase of gym membership - 620,Personal Care
spent 396 on tailoring,Others
recharged my maintenance fee with 13028,Utilities
bought maintenance fee for 237,Utilities
spent 661 on donation to charity,Gifts & Donations
bought sports match ticket for 863,Entertainment
bought charity for 787,Others
spent 3736 on vitamins,Health
bought medicines for 764 rs,Health
health insurance premium 2924 rs,Health
spent 3718 on pen and notebooks,Education
just got textbooks for 11307 rupees,Education
purchase of stationery for school - 8577,Education
recharged my health insurance premium with 4849,Health
spent 258 on amusement park entry,Entertainment
monthly toy payment of 397,Others
video game cost 618,Entertainment
car service cost 14607,Transport
spent 3192 on auto rickshaw fare,Transport
protein powder 185 rs,Personal Care
recharged my maintenance fee with 6666,Utilities
subscription service cost 323,Utilities
gift for anniversary 90 rupees,Gifts & Donations
just got furniture for 10434 rupees,Shopping
recharged my dinner with friends with 303,Food
recharged my laptop with 8309,Shopping
recharged my shampoo with 785,Personal Care
"paid for band-aids, amount was 3638",Health
spent 8470 on exam fee,Education
paid 823 for wedding present,Gifts & Donations
protein powder 464 rupees,Personal Care
purchase of running shoes - 9787,Shopping
"paid for watch, amount was 9892",Shopping
amusement park entry cost 885,Entertainment
purchase of snacks - 832,Food
recharged my uber ride with 5257,Transport
bought charity for 391 rupees,Others
"paid for lab test, amount was 2676",Health
recharged my pen and notebooks with 727,Education
furniture 811 rs,Shopping
spent 7043 on subscription service,Utilities
just got soap for 917 inr,Personal Care
bought electricity bill for 5868 rs,Utilities
bought vegetables for 364 rs,Food
bought shampoo for 474,Personal Care
recharged my ice cream with 340,Food
bought laptop for 4891,Shopping
spent 7347 on online course fee,Education
"paid for water bill, amount was 4373",Utilities
purchase of shampoo - 492,Personal Care
paid 562 inr for salon visit,Personal Care
restaurant meal 293 inr,Food
purchase of broadband payment - 5189,Utilities
"paid for stationery for school, amount was 12502",Education
paid 277 inr for contribution to fundraiser,Gifts & Donations
concert tickets 634 rupees,Entertainment
just got stationery for school for 1421 rs,Education
bought electricity bill for 1828 inr,Utilities
purchase of jeans - 2138,Shopping
dental checkup cost 3366,Health
paid 324 for donation,Others
just got auto rickshaw fare for 4282,Transport
paid 3637 rs for health insurance premium,Health
dental checkup 324,Health
bought phone recharge for 3389,Utilities
bought auto rickshaw fare for 3879,Transport
spent 7373 on phone recharge,Utilities
recharged my textbooks with 14578,Education
spent 247 on salon visit,Personal Care
just got gym membership for 537,Personal Care
lunch 767 inr,Food
bought gift for anniversary for 102,Gifts & Donations
bought lunch for 302,Food
just got shampoo for 585 rs,Personal Care
purchase of miscellaneous - 670,Others
pen and notebooks cost 12678,Education
purchase of video game - 135,Entertainment
coursera specialization cost 11006,Education
birthday gift 872 rs,Gifts & Donations
just got DTH recharge for 11450 inr,Utilities
just got bus ticket for 5008,Transport
spent 280 on sports match ticket,Entertainment
medicines cost 4516,Health
just got book for 13179 rs,Shopping
parking fee cost 10258,Transport
recharged my dental checkup with 2722,Health
monthly office stationery payment of 236,Others
monthly house rent payment of 9505,Utilities
"paid for coursera specialization, amount was 1760",Education
parking fee cost 8593,Transport
spent 1517 on band-aids,Health
water bill 14291,Utilities
spent 953 on printing for work,Others
video game 543 inr,Entertainment
purchase of parking fee - 7365,Transport
spent 212 on miscellaneous,Others
monthly bowling with friends payment of 138,Entertainment
just got concert tickets for 894 rs,Entertainment
"paid for exam fee, amount was 1392",Education
"paid for gift for anniversary, amount was 678",Gifts & Donations
salon visit 710 inr,Personal Care
ice cream 467,Food
sports match ticket cost 585,Entertainment
paid 759 rs for protein powder,Personal Care
bought dinner with friends for 379,Food
purchase of auto rickshaw fare - 5641,Transport
purchase of auto rickshaw fare - 10212,Transport
paid 4364 rupees for band-aids,Health
just got haircut for 571 rs,Personal Care
"paid for train ticket, amount was 8001",Transport
gym membership 55 rupees,Personal Care
bought shampoo for 831 inr,Personal Care
bought fuel for car for 1333,Transport
paid 536 rs for gift,Others
"paid for breakfast, amount was 529",Food
parking fee cost 6997,Transport
"paid for Spotify premium, amount was 975",Entertainment
"paid for gift for anniversary, amount was 161",Gifts & Donations
paid 763 rs for contribution to fundraiser,Gifts & Donations
bought watch for 9707 rs,Shopping
"paid for textbooks, amount was 3862",Education
monthly pizza payment of 705,Food
monthly birthday gift payment of 857,Gifts & Donations
purchase of udemy course - 3285,Education
recharged my fuel for car with 8529,Transport
monthly uber ride payment of 10830,Transport
birthday gift 475 rs,Gifts & Donations
recharged my sports match ticket with 806,Entertainment
paid 14843 rupees for laptop,Shopping
paid 8605 rs for laptop,Shopping
spent 4789 on vitamins,Health
bought vegetables for 355 inr,Food
purchase of office stationery - 857,Others
spent 4779 on coursera specialization,Education
bought concert tickets for 584 inr,Entertainment
recharged my birthday gift with 169,Gifts & Donations
"paid for Netflix subscription, amount was 255",Entertainment
purchase of movie tickets - 260,Entertainment
"paid for broadband payment, amount was 9322",Utilities
purchase of bowling with friends - 800,Entertainment
spent 970 on photocopy,Others
recharged my udemy course with 11527,Education
Spotify premium 318 rs,Entertainment
monthly bus ticket payment of 9365,Transport
just got textbooks for 7135 rs,Education
bought broadband payment for 8368 rs,Utilities
bought cosmetics for 716 inr,Personal Care
"paid for dinner with friends, amount was 541",Food
just got online course fee for 9341 rs,Education
bought amusement park entry for 746 rupees,Entertainment
bought dental checkup for 3247 rupees,Health
monthly skincare products payment of 13417,Shopping
just got repair for 752 rs,Others
monthly wedding present payment of 603,Gifts & Donations
just got wedding present for 415,Gifts & Donations
recharged my toy with 152,Others
just got flight ticket for 12040 inr,Transport
monthly bus ticket payment of 12114,Transport
toy 281 rupees,Others
just got gas cylinder for 10756 rs,Utilities
recharged my udemy course with 8292,Education
purchase of tailoring - 600,Others
"paid for charity, amount was 931",Others
spent 14217 on train ticket,Transport
spent 359 on Netflix subscription,Entertainment
soap 455,Personal Care
bought hospital bill for 3072 inr,Health
"paid for vitamins, amount was 3576",Health
dental checkup 4112,Health
pen and notebooks 6097 rupees,Education
paid 11111 for train ticket,Transport
pen and notebooks cost 12144,Education
recharged my band-aids with 2518,Health
paid 148 for pizza,Food
monthly soap payment of 980,Personal Care
bought office stationery for 730 rs,Others
coursera specialization cost 2729,Education
monthly online course fee payment of 14720,Education
just got printing for work for 159,Others
paid 1244 rupees for dental checkup,Health
purchase of metro card recharge - 10345,Transport
recharged my gift with 9066,Shopping
home decor cost 3461,Shopping
recharged my car service with 1488,Transport
purchase of fuel for car - 13085,Transport
monthly gym membership payment of 301,Personal Care
just got furniture for 2357 rupees,Shopping
purchase of pet food - 922,Others
bought dental checkup for 3997 rupees,Health
udemy course 1414 rs,Education
monthly salon visit payment of 187,Personal Care
bought snacks for 276,Food
bowling with friends cost 490,Entertainment
just got movie tickets for 682 rs,Entertainment
"paid for donation to charity, amount was 937",Gifts & Donations
bought soap for 443 inr,Personal Care
just got pizza for 159,Food
breakfast cost 634,Food
monthly gift for anniversary payment of 421,Gifts & Donations
just got coursera specialization for 5935 rs,Education
"paid for Netflix subscription, amount was 859",Entertainment
recharged my cosmetics with 528,Personal Care
purchase of movie tickets - 360,Entertainment
cosmetics 906 rupees,Personal Care
metro card recharge cost 12020,Transport
skincare products 8208 rs,Shopping
"paid for band-aids, amount was 3596",Health
paid 2452 inr for home decor,Shopping
uber ride cost 11330,Transport
purchase of metro card recharge - 12641,Transport
band-aids cost 818,Health
"paid for office stationery, amount was 86",Others
bought car service for 7532 rs,Transport
just got medicines for 677 rs,Health
wedding present 878,Gifts & Donations
spent 818 on takeout food,Food
recharged my laundry with 353,Others
purchase of electricity bill - 1907,Utilities
recharged my medicines with 845,Health
wedding present cost 180,Gifts & Donations
uber ride cost 6380,Transport
bought mobile phone for 11837 rupees,Shopping
monthly school fees payment of 12892,Education
spent 1839 on hospital bill,Health
just got textbooks for 1727 inr,Education
purchase of salon visit - 542,Personal Care
"paid for gym membership, amount was 345",Personal Care
just got vitamins for 2420 inr,Health
"paid for lunch, amount was 435",Food
pizza cost 55,Food
just got bus ticket for 744 inr,Transport
"paid for Netflix subscription, amount was 337",Entertainment
bought phone recharge for 7081 rupees,Utilities
bought auto rickshaw fare for 2535 rs,Transport
recharged my doctor's visit fee with 3113,Health
recharged my salon visit with 644,Personal Care
recharged my sports match ticket with 965,Entertainment
vitamins 4881 inr,Health
recharged my mobile phone with 12281,Shopping
monthly repair payment of 434,Others
spent 754 on contribution to fundraiser,Gifts & Donations
recharged my skincare products with 9616,Shopping
purchase of snacks - 746,Food
just got school fees for 6583 rupees,Education
bought cosmetics for 481 inr,Personal Care
purchase of protein powder - 372,Personal Care
furniture 2605,Shopping
recharged my textbooks with 8059,Education
"paid for protein powder, amount was 877",Personal Care
recharged my fuel for car with 9094,Transport
"paid for donation to charity, amount was 785",Gifts & Donations
bought donation for 339 rs,Others
spent 4732 on hospital bill,Health
purchase of medicines - 3106,Health
monthly sunglasses payment of 5064,Shopping
vitamins cost 983,Health
bought tuition payment for 9841,Education
donation to charity cost 442,Gifts & Donations
dinner with friends 390 rupees,Food
bowling with friends cost 528,Entertainment
soap 794 rs,Personal Care
purchase of watch - 10976,Shopping
just got contribution to fundraiser for 251 inr,Gifts & Donations
printing for work cost 269,Others
paid 2522 inr for auto rickshaw fare,Transport
"paid for gift for anniversary, amount was 487",Gifts & Donations
spent 2697 on stationery for school,Education
purchase of fruits - 645,Food
paid 8167 rupees for home decor,Shopping
bought textbooks for 13545 inr,Education
spent 797 on gym membership,Personal Care
just got watch for 6227 rs,Shopping
monthly health insurance premium payment of 4385,Health
"paid for medicines, amount was 154",Health
just got bowling with friends for 779 rupees,Entertainment
"paid for sports match ticket, amount was 394",Entertainment
purchase of fruits - 938,Food
just got exam fee for 2382,Education
"paid for stationery for school, amount was 1133",Education
amusement park entry 979,Entertainment
just got miscellaneous for 729 rupees,Others
monthly laptop payment of 869,Shopping
bought groceries for 731,Food
just got fuel for car for 6183 rupees,Transport
purchase of mobile phone - 9077,Shopping
spent 581 on wedding present,Gifts & Donations
soap 560,Personal Care
spent 144 on birthday gift,Gifts & Donations
recharged my birthday gift with 639,Gifts & Donations
spent 844 on coffee,Food
monthly gift payment of 13769,Shopping
soap cost 187,Personal Care
monthly headphones payment of 2731,Shopping
monthly fruits payment of 963,Food
"paid for health insurance premium, amount was 1626",Health
spent 568 on protein powder,Personal Care
bought metro card recharge for 10527 rupees,Transport
recharged my sunglasses with 7752,Shopping
recharged my house rent with 11995,Utilities
spent 824 on coffee,Food
recharged my book with 6675,Shopping
monthly coursera specialization payment of 3808,Education
monthly birthday gift payment of 121,Gifts & Donations
just got doctor's visit fee for 1266 rs,Health
recharged my bowling with friends with 735,Entertainment
spent 8769 on tuition payment,Education
"paid for tailoring, amount was 819",Others
spent 4243 on sunglasses,Shopping
coffee cost 595,Food
maintenance fee 14924 rupees,Utilities
purchase of home decor - 7638,Shopping
just got school fees for 13244,Education
bought protein powder for 443 inr,Personal Care
"paid for printing for work, amount was 741",Others
uber ride 8901,Transport
purchase of dental checkup - 1744,Health
metro card recharge cost 10112,Transport
monthly lab test payment of 1795,Health
"paid for health insurance premium, amount was 2076",Health
recharged my auto rickshaw fare with 7805,Transport
recharged my gym membership with 728,Personal Care
paid 378 inr for Netflix subscription,Entertainment
paid 197 rupees for health insurance premium,Health
contribution to fundraiser 937 inr,Gifts & Donations
bought doctor's visit fee for 4711 rupees,Health
monthly bowling with friends payment of 704,Entertainment
just got concert tickets for 693 inr,Entertainment
tuition payment 10910 inr,Education
recharged my donation with 728,Others
just got health insurance premium for 4862 inr,Health
spent 124 on cosmetics,Personal Care
exam fee cost 5744,Education
recharged my school fees with 5680,Education
spent 12187 on taxi fare,Transport
coursera specialization cost 271,Education
"paid for home decor, amount was 1181",Shopping
"paid for protein powder, amount was 160",Personal Care
donation cost 401,Others
bought book for 12763,Shopping
spent 3803 on vitamins,Health
monthly stationery for school payment of 8842,Education
spent 694 on game,Others
purchase of breakfast - 519,Food
just got wedding present for 165 rs,Gifts & Donations
just got water bill for 13968 rs,Utilities
auto rickshaw fare 6541 rs,Transport
purchase of takeout food - 132,Food
monthly wedding present payment of 608,Gifts & Donations
bought breakfast for 539,Food
spent 2027 on maintenance fee,Utilities
purchase of phone recharge - 8396,Utilities
spent 376 on coffee,Food
paid 405 for soap,Personal Care
bought school fees for 6065,Education
"paid for coursera specialization, amount was 10791",Education
recharged my amusement park entry with 553,Entertainment
fruits cost 357,Food
paid 950 for skincare products,Shopping
recharged my textbooks with 7400,Education
recharged my donation to charity with 56,Gifts & Donations
bought band-aids for 3775,Health
recharged my protein powder with 320,Personal Care
bought contribution to fundraiser for 651,Gifts & Donations
paid 317 for donation,Others
spent 195 on birthday gift,Gifts & Donations
monthly donation payment of 504,Others
bought train ticket for 1392 rupees,Transport
paid 307 rupees for game,Others
monthly fruits payment of 331,Food
spent 420 on gift for anniversary,Gifts & Donations
bought udemy course for 8782 rs,Education
"paid for medicines, amount was 3124",Health
recharged my donation to charity with 127,Gifts & Donations
recharged my hospital bill with 3241,Health
purchase of coursera specialization - 13565,Education
purchase of broadband payment - 8923,Utilities
gym membership cost 686,Personal Care
bowling with friends 61 inr,Entertainment
recharged my coffee with 239,Food
spent 107 on ice cream,Food
monthly stationery for school payment of 14286,Education
recharged my dental checkup with 817,Health
laptop 12408 rs,Shopping
bought laundry for 333 inr,Others
home decor 3880 rs,Shopping
spent 8145 on gift,Shopping
"paid for restaurant meal, amount was 714",Food
just got tailoring for 894 rupees,Others
paid 650 for donation to charity,Gifts & Donations
just got tailoring for 327 inr,Others
monthly salon visit payment of 422,Personal Care
monthly wedding present payment of 203,Gifts & Donations
bought soap for 443 inr,Personal Care
recharged my taxi fare with 4099,Transport
